Category,Keyword,Vietnamese_Term,Explanation,Level,Origin
"05. Evaluation, Metrics & Experimentation",Test Case,Ca kiểm thử,"Một đầu vào cụ thể kèm kết quả mong đợi, tiêu chí chấm hoặc điều kiện đạt.",Cơ bản,Bổ sung
"06. Data Engineering, Quality & Governance",Access Control,Kiểm soát truy cập,"Quy định ai hoặc hệ thống nào được phép xem, sửa hoặc sử dụng tài nguyên.",Cơ bản,Bổ sung
"06. Data Engineering, Quality & Governance",Audit Log,Nhật ký kiểm toán,"Bản ghi có thể truy vết về ai đã thực hiện hành động gì, khi nào và trên tài nguyên nào.",Trung cấp,Bổ sung
"06. Data Engineering, Quality & Governance",Data Contract,Hợp đồng dữ liệu,"Thỏa thuận giữa bên tạo và bên sử dụng dữ liệu về schema, chất lượng, độ mới, quyền sở hữu và cách xử lý thay đổi.",Trung cấp,Từ nội dung gốc
"06. Data Engineering, Quality & Governance",Data Lineage,Dòng dõi dữ liệu,"Thông tin cho biết dữ liệu đến từ đâu, đã qua các bước biến đổi nào và được sử dụng ở đâu.",Trung cấp,Bổ sung
"06. Data Engineering, Quality & Governance",Data Pipeline,Đường ống dữ liệu,"Chuỗi bước tự động đưa dữ liệu từ nguồn đến nơi sử dụng, có thể gồm thu thập, xử lý, kiểm tra và lưu trữ.",Cơ bản,Bổ sung
"06. Data Engineering, Quality & Governance",Data Quality,Chất lượng dữ liệu,"Mức độ dữ liệu đáp ứng các tiêu chí như đầy đủ, chính xác, nhất quán, hợp lệ, kịp thời và không trùng lặp.",Cơ bản,Từ nội dung gốc
"06. Data Engineering, Quality & Governance",Data Residency,Nơi cư trú dữ liệu,Yêu cầu dữ liệu phải được lưu trữ hoặc xử lý trong một quốc gia hoặc khu vực pháp lý xác định.,Trung cấp,Bổ sung
"06. Data Engineering, Quality & Governance",Data Retention,Thời hạn lưu dữ liệu,Quy định dữ liệu được giữ trong bao lâu và khi nào phải xóa hoặc ẩn danh.,Trung cấp,Bổ sung
"06. Data Engineering, Quality & Governance",Data Validation,Kiểm tra dữ liệu,"Kiểm tra dữ liệu có đúng kiểu, phạm vi, định dạng, quan hệ và quy tắc nghiệp vụ hay không.",Cơ bản,Bổ sung
"06. Data Engineering, Quality & Governance",ELT (Extract-Load-Transform),Trích xuất – nạp – biến đổi,Quy trình nạp dữ liệu thô vào hệ thống đích trước rồi mới biến đổi bên trong hệ thống đó.,Cơ bản,Từ nội dung gốc
"06. Data Engineering, Quality & Governance",Encryption,Mã hóa,"Biến dữ liệu thành dạng không thể đọc nếu không có khóa phù hợp, áp dụng khi truyền và khi lưu trữ.",Cơ bản,Bổ sung
"06. Data Engineering, Quality & Governance",ETL (Extract-Transform-Load),Trích xuất – biến đổi – nạp,"Quy trình lấy dữ liệu, làm sạch hoặc biến đổi rồi mới nạp vào hệ thống đích.",Cơ bản,Từ nội dung gốc
"06. Data Engineering, Quality & Governance",PII (Personally Identifiable Information),Thông tin nhận dạng cá nhân,"Thông tin có thể nhận diện trực tiếp hoặc gián tiếp một cá nhân và cần được xử lý theo yêu cầu bảo mật, pháp lý và quyền riêng tư.",Cơ bản,Từ nội dung gốc
"06. Data Engineering, Quality & Governance",RBAC (Role-Based Access Control),Kiểm soát truy cập theo vai trò,"Cấp quyền dựa trên vai trò như quản trị viên, giáo viên, người học hoặc dịch vụ.",Trung cấp,Bổ sung
"06. Data Engineering, Quality & Governance",Redaction,Che hoặc loại bỏ dữ liệu nhạy cảm,"Ẩn, thay thế hoặc xóa thông tin nhạy cảm trước khi lưu, hiển thị, gửi cho mô hình hoặc ghi log.",Trung cấp,Bổ sung
"06. Data Engineering, Quality & Governance",Schema,Lược đồ dữ liệu,"Mô tả cấu trúc dữ liệu gồm trường, kiểu dữ liệu, quan hệ và ràng buộc.",Cơ bản,Bổ sung
"06. Data Engineering, Quality & Governance",Schema Drift,Trôi lược đồ,"Sự thay đổi tên trường, kiểu dữ liệu hoặc cấu trúc nguồn làm hỏng các bước xử lý phía sau.",Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Cold Start,Khởi động lạnh,Độ trễ phát sinh khi tài nguyên hoặc dịch vụ phải khởi tạo sau thời gian không hoạt động.,Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Cost per Request,Chi phí mỗi yêu cầu,"Tổng chi phí model, retrieval, tool, hạ tầng và dịch vụ cho một yêu cầu.",Cơ bản,Bổ sung
"07. MLOps, LLMOps & Observability",Exponential Backoff,Lùi thời gian theo cấp số nhân,Chiến lược tăng dần thời gian chờ giữa các lần retry để giảm tải cho dịch vụ đang lỗi hoặc quá tải.,Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",Latency,Độ trễ,Thời gian từ khi gửi yêu cầu đến khi nhận phản hồi hoặc hoàn thành một bước xử lý.,Cơ bản,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Liveness Probe,Kiểm tra còn sống,Kiểm tra dịch vụ có đang chạy hay bị treo; thất bại thường dẫn đến khởi động lại.,Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",LLMOps,Vận hành ứng dụng LLM,"Thực hành vận hành hệ thống LLM gồm prompt, model, RAG, eval, quan sát, chi phí, bảo mật và phát hành.",Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",Log,Nhật ký hệ thống,"Bản ghi sự kiện rời rạc như lỗi, cảnh báo, yêu cầu, phản hồi hoặc hành động của agent.",Cơ bản,Bổ sung
"07. MLOps, LLMOps & Observability",MLOps,Vận hành Machine Learning,"Thực hành kết hợp phát triển, triển khai, giám sát và quản trị vòng đời mô hình Machine Learning.",Cơ bản,Bổ sung
"07. MLOps, LLMOps & Observability",Monitoring,Giám sát,"Theo dõi liên tục chỉ số và trạng thái để phát hiện bất thường, suy giảm hoặc vi phạm ngưỡng.",Cơ bản,Bổ sung
"07. MLOps, LLMOps & Observability",Observability,Khả năng quan sát,"Khả năng hiểu trạng thái và nguyên nhân bên trong hệ thống thông qua metrics, logs, traces và ngữ cảnh thực thi.",Cơ bản,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",P50/P95/P99 Latency,Phân vị độ trễ,"Các mốc cho biết 50%, 95% hoặc 99% yêu cầu hoàn thành nhanh hơn giá trị tương ứng; phản ánh tốt hơn giá trị trung bình.",Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Prompt Cache,Bộ nhớ đệm prompt,Tái sử dụng phần prompt hoặc ngữ cảnh lặp lại để giảm thời gian và chi phí xử lý.,Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Rate Limit,Giới hạn tần suất,Giới hạn số yêu cầu hoặc token có thể sử dụng trong một khoảng thời gian.,Cơ bản,Bổ sung
"07. MLOps, LLMOps & Observability",Readiness Probe,Kiểm tra sẵn sàng,Kiểm tra dịch vụ đã sẵn sàng nhận lưu lượng hay chưa; thất bại thường khiến dịch vụ tạm bị loại khỏi cân bằng tải.,Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Semantic Cache,Bộ nhớ đệm ngữ nghĩa,Tái sử dụng kết quả của truy vấn có ý nghĩa tương tự thay vì chỉ khớp chuỗi chính xác.,Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",SLA (Service Level Agreement),Thỏa thuận mức dịch vụ,Cam kết chính thức với khách hàng về mức dịch vụ và có thể kèm điều khoản bồi thường.,Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",SLI (Service Level Indicator),Chỉ báo mức dịch vụ,"Chỉ số đo thực tế về độ sẵn sàng, độ trễ, tỷ lệ lỗi hoặc chất lượng dịch vụ.",Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",SLO (Service Level Objective),Mục tiêu mức dịch vụ,Mục tiêu nội bộ cho một SLI trong khoảng thời gian xác định.,Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",Telemetry,Dữ liệu đo từ xa,"Dữ liệu hệ thống tự động thu thập như metric, log, trace và sự kiện để phân tích vận hành.",Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",Throughput,Thông lượng,"Số yêu cầu, token hoặc tác vụ hệ thống có thể xử lý trong một đơn vị thời gian.",Cơ bản,Bổ sung
"07. MLOps, LLMOps & Observability",Token Budget,Ngân sách token,"Giới hạn token dành cho đầu vào, suy luận, công cụ và đầu ra nhằm kiểm soát chi phí và độ trễ.",Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",Tokens per Second,Số token mỗi giây,Tốc độ sinh token của mô hình trong giai đoạn tạo phản hồi.,Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",Trace,Dấu vết thực thi,"Bản ghi liên kết toàn bộ các bước của một yêu cầu qua model, retriever, tool và dịch vụ để tìm nguyên nhân lỗi hoặc chậm.",Trung cấp,Bổ sung
"07. MLOps, LLMOps & Observability",TTFT (Time to First Token),Thời gian đến token đầu tiên,Thời gian từ lúc gửi yêu cầu đến khi người dùng nhận token đầu tiên của phản hồi streaming.,Trung cấp,Từ nội dung gốc
"07. MLOps, LLMOps & Observability",TTLT (Time to Last Token),Thời gian đến token cuối,Tổng thời gian từ lúc gửi yêu cầu đến khi phản hồi được sinh hoàn tất.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",API (Application Programming Interface),Giao diện lập trình ứng dụng,Hợp đồng cho phép các phần mềm trao đổi dữ liệu và gọi chức năng của nhau.,Cơ bản,Từ nội dung gốc
"08. API, Hạ tầng & Triển khai",API Gateway,Cổng API,"Lớp trung gian quản lý định tuyến, xác thực, quota, rate limit và quan sát cho nhiều API.",Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",Asynchronous Processing,Xử lý bất đồng bộ,Thực hiện tác vụ mà không giữ người dùng chờ trực tiếp; kết quả được trả hoặc lấy sau.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",Autoscaling,Tự động mở rộng,"Tự động tăng hoặc giảm tài nguyên theo tải, độ trễ, hàng đợi hoặc chỉ số khác.",Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",Blue-Green Deployment,Triển khai xanh–lam,"Duy trì hai môi trường cũ và mới, sau đó chuyển lưu lượng giữa chúng để phát hành hoặc rollback nhanh.",Nâng cao,Bổ sung
"08. API, Hạ tầng & Triển khai",Canary Deployment,Triển khai canary,Phát hành phiên bản mới cho một phần nhỏ lưu lượng trước khi mở rộng để giảm rủi ro.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",CI/CD,Tích hợp và triển khai liên tục,"Tự động hóa kiểm tra, tích hợp, đóng gói và phát hành thay đổi; hệ thống AI thường thêm eval gate trước khi triển khai.",Cơ bản,Từ nội dung gốc
"08. API, Hạ tầng & Triển khai",Container,Container ứng dụng,Đơn vị đóng gói ứng dụng cùng thư viện và cấu hình để chạy nhất quán giữa các môi trường.,Cơ bản,Bổ sung
"08. API, Hạ tầng & Triển khai",Docker,Nền tảng Docker,"Công cụ phổ biến để xây dựng, phân phối và chạy container.",Cơ bản,Bổ sung
"08. API, Hạ tầng & Triển khai",GPU,Bộ xử lý đồ họa,Phần cứng xử lý song song được sử dụng rộng rãi để huấn luyện và suy luận mô hình AI.,Cơ bản,Bổ sung
"08. API, Hạ tầng & Triển khai",GPU Economics,Kinh tế học GPU,"Phân tích chi phí, mức sử dụng, năng lực, điện năng và sự khan hiếm GPU khi xây dựng hoặc vận hành AI.",Trung cấp,Từ nội dung gốc
"08. API, Hạ tầng & Triển khai",Inference Server,Máy chủ suy luận,"Phần mềm tối ưu việc tải mô hình, lập lịch và xử lý yêu cầu suy luận.",Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",Kubernetes,Nền tảng điều phối container,"Hệ thống quản lý triển khai, mở rộng, phục hồi và kết nối các container ở quy mô lớn.",Nâng cao,Bổ sung
"08. API, Hạ tầng & Triển khai",Load Balancer,Bộ cân bằng tải,Phân phối yêu cầu đến nhiều phiên bản dịch vụ để tăng khả năng chịu tải và tính sẵn sàng.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",Message Queue,Hàng đợi thông điệp,Hệ thống đệm và phân phối tác vụ giữa các dịch vụ để xử lý bất đồng bộ và tăng độ bền.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",Model Serving,Phục vụ mô hình,Đưa mô hình vào dịch vụ có thể nhận yêu cầu và trả dự đoán ở môi trường vận hành.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",REST API,API kiểu REST,"API dựa trên tài nguyên và các phương thức HTTP như GET, POST, PUT và DELETE.",Cơ bản,Bổ sung
"08. API, Hạ tầng & Triển khai",Serverless,Kiến trúc không quản máy chủ,Mô hình triển khai trong đó nhà cung cấp quản lý hạ tầng và tự động cấp tài nguyên theo yêu cầu.,Trung cấp,Bổ sung
"08. API, Hạ tầng & Triển khai",SSE (Server-Sent Events),Sự kiện gửi từ máy chủ,"Kết nối HTTP một chiều cho phép máy chủ liên tục đẩy dữ liệu đến trình duyệt, thường dùng cho streaming văn bản.",Trung cấp,Từ nội dung gốc
"08. API, Hạ tầng & Triển khai",Streaming,Truyền dữ liệu theo luồng,Gửi kết quả từng phần ngay khi có thay vì đợi toàn bộ phản hồi hoàn tất.,Cơ bản,Bổ sung
"08. API, Hạ tầng & Triển khai",Webhook,Thông báo webhook,Cơ chế một hệ thống chủ động gửi yêu cầu HTTP đến hệ thống khác khi một sự kiện xảy ra.,Cơ bản,Bổ sung
